instance,n,feasible_runs,best_cost,avg_cost,std_cost,avg_time_to_best_s,time_limit_s,max_iter
ch150_05_2,t,10,361120.880000,361120.880000,0.000000,8.5382,60,10000
ch150_05_3,t,10,363594.600000,363594.600000,0.000000,17.9694,60,10000
ch150_05_4,t,10,380022.110000,380132.858000,95.316702,18.0071,60,10000
ch150_05_5,t,10,383292.990000,387392.165000,2293.192659,33.7326,60,10000
ch150_10_2,t,10,124067.610000,124243.925000,526.108815,7.3384,60,10000
ch150_10_3,t,10,124814.790000,125031.887000,397.254907,30.4815,60,10000
ch150_10_4,t,10,135407.580000,136164.805000,1037.701991,25.9599,60,10000
ch150_10_5,t,10,139927.500000,141153.847000,955.491163,27.0257,60,10000
ch150_15_2,t,10,65037.610000,65120.206000,141.570759,17.8537,60,10000
ch150_15_3,t,10,65964.640000,66084.220000,101.011020,38.9250,60,10000
ch150_15_4,t,10,73250.930000,74528.784000,900.645093,28.5360,60,10000
ch150_15_5,t,10,75501.930000,77108.908000,815.420421,42.7679,60,10000
ch150_20_2,t,10,40674.620000,40917.415000,152.505886,24.7555,60,10000
ch150_20_3,t,10,40902.000000,40944.496000,110.573204,25.3016,60,10000
ch150_20_4,t,10,47856.350000,48382.725000,483.449017,39.0053,60,10000
ch150_20_5,t,10,50222.730000,51010.554000,397.935604,38.3976,60,10000
d198_05_2,t,10,1326975.850000,1326975.850000,0.000000,5.8036,60,10000
d198_05_3,t,10,1407582.040000,1411238.150000,3853.878325,7.2382,60,10000
d198_05_4,t,10,1441936.190000,1446525.873000,1666.798859,32.7695,60,10000
d198_05_5,t,10,1629066.530000,1639948.492000,6142.610948,37.0696,60,10000
d198_10_2,t,10,416459.560000,417232.936000,939.677055,28.7475,60,10000
d198_10_3,t,10,440753.230000,442409.684000,1012.601652,34.3542,60,10000
d198_10_4,t,10,460716.500000,463259.836000,1503.234756,45.9155,60,10000
d198_10_5,t,10,552041.130000,565803.680000,7250.325245,47.7735,60,10000
d198_15_2,t,10,191297.570000,193161.563000,1982.239120,35.8722,60,10000
d198_15_3,t,10,221116.510000,223871.299000,1050.440274,38.9712,60,10000
d198_15_4,t,10,219599.940000,221780.495000,2016.946994,43.3691,60,10000
d198_15_5,t,10,298522.010000,312180.002000,8579.319824,45.3328,60,10000
d198_20_2,t,10,124917.870000,125523.204000,320.809890,36.7934,60,10000
d198_20_3,t,10,151292.470000,152940.236000,849.728273,36.7223,60,10000
d198_20_4,t,10,158035.050000,159339.054000,964.073311,43.7843,60,10000
d198_20_5,t,10,189984.100000,194782.846000,3182.633431,57.4863,60,10000
eil101_05_2,t,10,15863.340000,15863.340000,0.000000,0.1168,60,10000
eil101_05_3,t,10,16529.700000,16529.700000,0.000000,10.2577,60,10000
eil101_05_4,t,10,16639.990000,16639.990000,0.000000,8.5574,60,10000
eil101_05_5,t,10,16500.680000,16517.636000,27.301754,11.8074,60,10000
eil101_10_2,t,10,5718.850000,5720.341000,3.651686,6.5708,60,10000
eil101_10_3,t,10,5942.030000,5948.739000,21.215721,18.2497,60,10000
eil101_10_4,t,10,5945.500000,5960.239000,33.779196,12.0372,60,10000
eil101_10_5,t,10,6089.420000,6124.849000,54.587940,17.5871,60,10000
eil101_15_2,t,10,2993.600000,2993.600000,0.000000,1.7201,60,10000
eil101_15_3,t,10,3262.040000,3274.364000,9.597173,20.8870,60,10000
eil101_15_4,t,10,3281.880000,3303.302000,26.157942,35.8154,60,10000
eil101_15_5,t,10,3282.660000,3308.135000,36.512636,21.9681,60,10000
eil101_20_2,t,10,1888.020000,1893.492000,7.079282,18.1473,60,10000
eil101_20_3,t,10,2044.400000,2051.823000,5.263282,17.9718,60,10000
eil101_20_4,t,10,2121.360000,2131.301000,13.654043,22.5425,60,10000
